varlik,max_kaldirac
BTC,
ETH,
USDT,
BNB,
USDC,
XRP,
SOL,
TRX,
HYPE,
DOGE,
LEO,
ZEC,
XMR,
LINK,
ADA,
XLM,
CC,
DAI,
BCH,
USD1,
GRAM,
USDE,
LTC,
USDG,
HBAR,
SUI,
AVAX,
SHIB,
PYUSD,
CRO,
UNI,
XAUT,
TAO,
NEAR,
ONDO,
PAXG,
OKB,
WLFI,
ASTER,
RLUSD,
USDD,
M,
AAVE,
SKY,
MNT,
DOT,
BEAT,
ICP,
BGB,
PEPE,
