varlik,min_miktar,min_tutar,fiyat_adimi,digit,miktar_adimi,max_kaldirac,funding_periyot
BTC,,,,,,,
ETH,,,,,,,
USDT,,,,,,,
BNB,,,,,,,
USDC,,,,,,,
XRP,,,,,,,
SOL,,,,,,,
TRX,,,,,,,
HYPE,,,,,,,
DOGE,,,,,,,
LEO,,,,,,,
ZEC,,,,,,,
XMR,,,,,,,
LINK,,,,,,,
ADA,,,,,,,
XLM,,,,,,,
CC,,,,,,,
DAI,,,,,,,
BCH,,,,,,,
USD1,,,,,,,
GRAM,,,,,,,
USDE,,,,,,,
LTC,,,,,,,
USDG,,,,,,,
HBAR,,,,,,,
SUI,,,,,,,
AVAX,,,,,,,
SHIB,,,,,,,
PYUSD,,,,,,,
CRO,,,,,,,
UNI,,,,,,,
XAUT,,,,,,,
TAO,,,,,,,
NEAR,,,,,,,
ONDO,,,,,,,
OKB,,,,,,,
PAXG,,,,,,,
WLFI,,,,,,,
ASTER,,,,,,,
RLUSD,,,,,,,
USDD,,,,,,,
AAVE,,,,,,,
SKY,,,,,,,
MNT,,,,,,,
DOT,,,,,,,
M,,,,,,,
BEAT,,,,,,,
ICP,,,,,,,
BGB,,,,,,,
PEPE,,,,,,,
WLD,,,,,,,
U,,,,,,,
